Title,Content,URL,Published At
"Gen Z employees are stressed, depressed, and burnt out: Study","In This Story
A new study paints a bleak picture of Gen Z workers state of mind.
MetLife (MET-0.70%
) released some early findings from its 2025 Employee Benefit Trends Study and found that less t… [+978 chars]",https://qz.com/gen-z-employees-stressed-depressed-burnt-out-anxious-1851745340,2025-01-22T20:20:00Z
Nick Nadgauda Joins MetLife As Chief Information Officer,"MetLife headquarters in New York
LightRocket via Getty Images
MetLife, Inc. announced that Nick Nadgauda has been named Executive Vice President and Chief Information Officer, effective March 10, 2… [+2809 chars]",https://www.forbes.com/sites/peterhigh/2025/01/10/nick-nadgauda-joins-metlife-as-chief-information-officer/,2025-01-10T19:19:32Z
Notre Dame AD: Irish Committed to Independent Status amid Run to CFP Title Game,"Michael Reaves/Getty Images
Notre Dame athletic director Pete Bevacqua defended the Fighting Irish's status as an independent on Friday.
""No secret, the expansion of the CFP from four to 12 teams h… [+2192 chars]",https://bleacherreport.com/articles/10150446-notre-dame-ad-irish-committed-to-independent-status-amid-run-to-cfp-title-game,2025-01-11T04:11:52Z
"NFL Playoffs 2025: Eagles vs. Rams Weather Forecast, Projected Snow Total for Matchup","Mitchell Leff/Getty Images
The Philadelphia Eagles and Los Angeles Rams could be set for a snowy divisional round matchup this weekend.
Parts of the Philadelphia area are forecast to get between th… [+2509 chars]",https://bleacherreport.com/articles/10151266-nfl-playoffs-2025-eagles-vs-rams-weather-forecast-projected-snow-total-for-matchup,2025-01-17T21:36:53Z
"Gen-Zs Are Stressed, Burned Out And Face Mental Health Issues","Gen Zers are experiencing unprecedented levels of stress and anxiety.
getty
Projected to comprise nearly 30% of the labor force in 2025, Gen Z is filling the void left by retiring Baby Boomers. Thi… [+4643 chars]",https://www.forbes.com/sites/jackkelly/2025/01/07/gen-zs-are-stressed-burned-out-and-face-mental-health-issues/,2025-01-07T16:30:47Z
"FC Barcelona Agrees To Let Player Change Club, Reports MARCA","FC Barcelona has given the green light to one of its players changing clubs mid-season according to ... [+] MARCA, which cited anonymous sources.
UEFA via Getty Images
FC Barcelona has given the gr… [+2008 chars]",https://www.forbes.com/sites/tomsanderson/2025/01/16/fc-barcelona-agrees-to-let-player-change-club-reports-marca/,2025-01-16T13:43:50Z
Jets accidentally bring team banner out upside down in pregame display,"The New York Jets' 2024 season came to a merciful end on Sunday at MetLife Stadium, as the team managed to preserve its dignity with a 32-20 victory over the AFC East rival Miami Dolphins. That win, … [+1012 chars]",https://www.cbssports.com/nfl/news/jets-accidentally-bring-team-banner-out-upside-down-in-pregame-display/,2025-01-06T00:50:15Z
Meet the billionaire owners of every NFL team,"Jerry Jones has owned the Dallas Cowboys since 1989.Todd Kirkland/Contributor/Getty Images
<ul><li>The NFL is one of the biggest businesses in the world.</li><li>Jerry Jones' Dallas Cowboys are the … [+37570 chars]",https://www.businessinsider.com/nfl-team-owners,2025-01-16T16:24:42Z
"How to Watch Dolphins vs Jets: Live Stream NFL, TV Channel",The Miami Dolphins (8-8) head to MetLife Stadium on Sunday to face the New York Jets (4-12) in a Week 18 regular-season finale with very different stakes for each team. Kickoff is set for 4:25 p.m. E… [+1785 chars],https://www.newsweek.com/sports/nfl/how-watch-dolphins-vs-jets-live-stream-nfl-tv-channel-2009977,2025-01-05T20:59:17Z
"Giants will retain Brian Daboll, Joe Schoen for 2025 season",The person who hired planes to tow banners urging Giants owner John Mara to fire everyone involved in putting together a Giants team that went 3-14 this season is going to be very disappointed on Mon… [+1202 chars],https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/giants-will-retain-brian-daboll-joe-schoen-for-2025-season,2025-01-06T13:45:47Z
